,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_dpr,product_interest_min,Score,Zscore,Give_credit,Return_credit
0,3000,30,5,0,0,15000,2,4000,1.8,50,116.96969730818519,-0.0713686635551088,1.0,0.0
12,2500,30,3,0,0,14000,2,4500,1.9,50,118.91718621486433,-0.0711612317636437,1.0,1.0
18,3000,30,4,0,0,10000,1,3000,1.8,50,116.95090032736418,-0.07137066566736346,1.0,0.0
22,1500,30,3,0,0,10000,1,5000,1.9,50,118.703243743341,-0.07118401929788143,1.0,1.0
27,500,30,3,0,0,3100,2,31000,1.8,50,117.43390856605248,-0.07131921928227755,1.0,0.0
33,3000,30,5,0,0,9000,2,5000,1.8,50,116.9891778118532,-0.0713665886391693,1.0,0.0
44,4500,30,3,0,0,12000,1,1500,1.8,50,117.60957558407878,-0.07130050855990806,1.0,0.0
49,4000,30,6,0,0,25000,1,17000,1.8,50,117.69359281940973,-0.07129155967933737,1.0,0.0
51,1000,30,2,0,0,9000,2,3000,1.9,50,118.57705540273945,-0.07119745992568845,1.0,1.0
55,5000,30,5,1,1,13500,2,9000,1.8,50,118.14131520289683,-0.07124387167671652,1.0,1.0
60,2550,30,4,0,0,6000,2,1500,1.8,50,116.79180498316988,-0.07138761130035104,1.0,0.0
61,4000,30,3,0,0,10000,1,3000,1.8,50,117.35087632880409,-0.07132806324830103,1.0,0.0
62,3000,30,2,0,0,8000,2,4000,1.8,50,116.96969730818519,-0.0713686635551088,1.0,0.0
72,1500,30,2,0,0,1200,1,2000,1.9,50,118.64681744643083,-0.0711900294003337,1.0,1.0
75,3000,30,5,0,0,12000,2,1000,1.8,50,116.91521791337405,-0.07137446628827193,1.0,0.0
79,3000,30,5,0,0,12000,1,5000,1.8,50,116.9891778118532,-0.0713665886391693,1.0,0.0
84,3500,30,5,0,0,20000,2,5000,1.8,50,117.16694640489811,-0.07134765407292089,1.0,0.0
85,1000,30,3,1,0,25000,999,10000,1.9,50,118.72442363763993,-0.07118176337570266,1.0,1.0
86,4000,30,2,1,0,18000,999,25000,1.8,50,118.0125279269777,-0.07125758912346049,1.0,1.0
88,4000,30,5,1,0,11500,2,6500,1.9,50,119.5030252149616,-0.07109883262345679,1.0,1.0
92,2500,30,5,0,0,10000,1,5000,1.8,50,116.84372901828192,-0.07138208074477947,1.0,0.0
94,3000,30,5,0,0,10000,2,2000,1.8,50,116.93275151494302,-0.07137259874162158,1.0,0.0
101,3500,30,2,0,0,4000,2,3500,1.9,50,119.22126943673832,-0.07112884311832125,1.0,1.0
104,3500,30,5,0,0,20000,2,10000,1.8,50,117.27603715530958,-0.07133603455112926,1.0,0.0
107,1500,30,4,1,0,10000,999,3500,1.9,50,118.6742815772226,-0.07118710412880501,1.0,1.0
109,3750,30,2,0,0,8000,1,5000,1.8,50,117.2715150583817,-0.071336516210698,1.0,0.0
112,3500,30,5,0,0,12000,2,7000,1.8,50,117.20811273978904,-0.07134326934622735,1.0,0.0
116,4000,30,3,0,0,12500,2,2500,1.9,50,119.42500821308373,-0.07110714240453372,1.0,1.0
117,2500,30,5,0,0,15000,1,5000,1.9,50,118.92701421624054,-0.07116018495925626,1.0,1.0
118,2500,30,4,0,0,22000,2,5000,1.8,50,116.84372901828192,-0.07138208074477947,1.0,0.0
125,2500,30,3,1,0,12500,2,3000,1.8,50,116.8054515337929,-0.07138615777297362,1.0,0.0
128,3500,30,5,0,0,8000,2,4000,1.8,50,117.1474659012301,-0.0713497289888604,1.0,0.0
131,5000,30,5,0,1,40000,2,20000,1.8,50,118.46484352037126,-0.07120941188685417,1.0,1.0
135,3500,30,5,0,0,13000,1,5000,1.8,50,117.16694640489811,-0.07134765407292089,1.0,0.0
142,3500,30,5,0,0,8000,2,7000,1.8,50,117.20811273978904,-0.07134326934622735,1.0,0.0
145,5000,30,5,0,0,9000,999,8500,1.8,50,118.12989317785525,-0.07124508826445082,1.0,1.0
152,1000,30,3,0,0,15000,999,5000,1.9,50,118.61533288722846,-0.0711933828974943,1.0,1.0
154,4000,30,5,0,0,5000,2,2000,1.8,50,117.33272751638293,-0.07132999632255915,1.0,0.0
158,3000,30,5,0,0,18200,2,10000,1.9,50,119.18155376022328,-0.07113307333185444,1.0,1.0
160,4000,30,5,0,1,20000,1,10000,1.8,50,117.49824456370457,-0.07131236669831525,1.0,0.0
163,3500,30,3,1,0,5500,1,5000,1.8,50,117.16694640489811,-0.07134765407292089,1.0,0.0
167,1000,30,2,0,0,6000,2,3000,1.9,50,118.57705540273945,-0.07119745992568845,1.0,1.0
170,2600,30,3,0,0,9500,1,3500,1.8,50,116.84170193364027,-0.07138229665450672,1.0,0.0
174,2500,30,5,1,1,12000,1,6000,1.8,50,116.86393101807747,-0.07137992898052839,1.0,0.0
175,1000,30,5,1,0,9000,2,5000,1.9,50,118.61533288722846,-0.0711933828974943,1.0,1.0
190,2500,30,4,0,0,5500,1,2000,1.8,50,116.78730272137174,-0.07138809084723176,1.0,0.0
192,1000,30,2,0,0,8700,1,1000,1.9,50,118.54137298874932,-0.07120126054659694,1.0,1.0
193,5000,30,4,0,0,10000,2,2000,1.8,50,117.99932752304893,-0.07125899513066578,1.0,1.0
197,5000,30,3,0,0,8000,2,3800,1.8,50,118.03246040587642,-0.07125546606653721,1.0,1.0
208,1000,30,3,0,0,8000,2,2000,1.9,50,118.55890659031829,-0.07119939299994657,1.0,1.0
209,3900,30,5,0,0,10000,2,5000,1.8,50,117.34037689453106,-0.07132918156864329,1.0,0.0
211,2500,30,4,1,0,12000,2,5000,1.9,50,118.92701421624054,-0.07116018495925626,1.0,1.0
221,1500,30,3,0,0,8600,2,2000,1.9,50,118.64681744643083,-0.0711900294003337,1.0,1.0
222,3500,30,5,0,1,9000,999,3500,1.8,50,117.13798423877971,-0.07135073890384447,1.0,0.0
225,3000,30,5,0,0,10400,1,5000,1.8,50,116.9891778118532,-0.0713665886391693,1.0,0.0
230,3500,30,3,0,1,11000,1,6500,1.9,50,119.2808178065666,-0.07112250047627079,1.0,1.0
232,5700,30,6,0,0,9000,1,2500,1.8,50,118.81979109320189,-0.0711716055555031,1.0,1.0
234,3050,30,4,0,0,5000,2,1200,1.8,50,116.93483780257489,-0.07137237652603949,1.0,0.0
236,2400,30,4,0,0,14000,2,4000,1.8,50,116.79827534880157,-0.07138692212593273,1.0,0.0
240,600,30,4,0,0,8000,2,2500,1.9,50,118.50612654612428,-0.07120501473113243,1.0,1.0
248,2500,30,5,0,0,16000,2,8000,1.8,50,116.90666600419699,-0.0713753771729681,1.0,0.0
251,1000,30,2,0,0,10000,1,4000,1.9,50,118.59585238356046,-0.07119545781343381,1.0,1.0
253,2500,30,3,0,0,10000,2,7000,1.8,50,116.88489535317285,-0.07137769601808594,1.0,0.0
254,3500,30,3,0,0,6000,2,500,1.9,50,119.16772591426324,-0.0711345461694402,1.0,1.0
258,4000,30,6,0,0,32000,1,15000,1.8,50,117.63157754148152,-0.07129816507778391,1.0,0.0
270,1500,30,4,0,0,6000,2,2000,1.9,50,118.64681744643083,-0.0711900294003337,1.0,1.0
274,5000,30,5,0,0,15000,2,8000,1.8,50,118.11869080587418,-0.07124628145640212,1.0,1.0
276,1000,30,5,0,0,30000,2,5000,1.9,50,118.61533288722846,-0.0711933828974943,1.0,1.0
277,500,30,5,1,1,10000,1,4000,1.9,50,118.51966250609044,-0.0712035729830355,1.0,1.0
286,3500,30,5,0,0,17000,2,10000,1.8,50,117.27603715530958,-0.07133603455112926,1.0,0.0
294,3500,30,5,0,0,17500,2,4000,1.8,50,117.1474659012301,-0.0713497289888604,1.0,0.0
295,3500,30,4,0,0,9500,1,2000,1.9,50,119.19380530594655,-0.07113176838984996,1.0,1.0
296,1500,30,3,0,0,12000,2,3000,1.9,50,118.66496625885199,-0.07118809632607558,1.0,1.0
310,1000,30,4,0,0,9000,2,7000,1.9,50,118.6564992221194,-0.07118899817080077,1.0,1.0
317,4500,30,3,0,0,12000,1,1500,1.8,50,117.60957558407878,-0.07130050855990806,1.0,0.0
330,1000,30,2,1,0,12000,2,4000,1.9,50,118.59585238356046,-0.07119545781343381,1.0,1.0
336,3000,30,4,0,0,12500,2,4500,1.8,50,116.97934981047699,-0.07136763544355673,1.0,0.0
337,2000,30,5,0,0,8000,1,3000,1.9,50,118.76752819176279,-0.07117717220455332,1.0,1.0
346,800,30,3,0,0,7300,1,4000,1.9,50,118.56410665418872,-0.07119883912846588,1.0,1.0
349,4000,30,4,0,0,9760,2,2000,1.9,50,119.41601271434155,-0.07110810053703595,1.0,1.0
351,1550,30,3,0,0,11000,2,4500,1.9,50,118.70295642016652,-0.07118404990137324,1.0,1.0
352,3000,30,6,0,0,16000,2,4000,1.8,50,116.96969730818519,-0.0713686635551088,1.0,0.0
354,2500,30,2,1,0,11000,1,4000,1.8,50,116.82424851461391,-0.07138415566071898,1.0,0.0
357,1000,30,2,0,0,8000,2,4500,1.9,50,118.60550488585226,-0.07119442970188172,1.0,1.0
360,3000,30,5,0,0,8800,1,2000,1.8,50,116.93275151494302,-0.07137259874162158,1.0,0.0
361,3000,30,4,0,1,5200,2,2300,1.8,50,116.93813010614264,-0.07137202585475978,1.0,0.0
365,2500,30,3,1,0,7000,2,2000,1.8,50,116.78730272137174,-0.07138809084723176,1.0,0.0
367,4000,30,5,0,0,13000,2,5000,1.9,50,119.47243901125172,-0.07110209043458367,1.0,1.0
376,2500,30,3,0,0,8000,2,1500,1.8,50,116.77846099105028,-0.07138903260148459,1.0,0.0
382,2000,30,3,0,0,11000,1,3000,1.9,50,118.76752819176279,-0.07117717220455332,1.0,1.0
386,3500,30,3,0,0,7500,2,3000,1.8,50,117.1286689204091,-0.07135173110111505,1.0,0.0
390,1500,30,2,0,0,15000,1,12000,1.8,50,116.77904918329337,-0.07138896995169476,1.0,0.0
391,2000,30,3,0,0,21000,1,16000,1.8,50,116.99524713118322,-0.07136594218117034,1.0,0.0
393,3000,30,3,0,0,8000,2,2000,1.8,50,116.93275151494302,-0.07137259874162158,1.0,0.0
399,3000,30,2,0,0,3000,2,1000,1.8,50,116.91521791337405,-0.07137446628827193,1.0,0.0
404,3000,30,5,0,0,8000,1,4000,1.8,50,116.96969730818519,-0.0713686635551088,1.0,0.0
406,3500,30,5,0,0,15000,2,8000,1.9,50,119.3131685887718,-0.0711190547155863,1.0,1.0
411,3000,30,5,0,0,15000,2,5500,1.8,50,116.99918614253724,-0.07136552262746763,1.0,0.0
416,500,30,3,0,0,3100,2,31000,1.8,50,117.43390856605248,-0.07131921928227755,1.0,0.0
418,1000,30,3,0,0,7000,1,3000,1.9,50,118.57705540273945,-0.07119745992568845,1.0,1.0
420,2500,30,2,0,0,9000,999,4000,1.9,50,118.90753371257253,-0.07116225987519577,1.0,1.0
422,3500,30,3,0,1,11000,1,6500,1.9,50,119.2808178065666,-0.07112250047627079,1.0,1.0
423,3500,30,5,0,0,15700,2,3000,1.9,50,119.21195411836771,-0.07112983531559182,1.0,1.0
430,2500,30,5,0,0,13000,2,8000,1.9,50,118.98995120215561,-0.07115348138744489,1.0,1.0
432,6000,30,4,0,0,10000,2,7000,1.8,50,119.43002019317728,-0.07110660856631466,1.0,1.0
436,3300,30,5,0,0,8000,2,5000,1.8,50,117.09130048478217,-0.07135571130429862,1.0,0.0
438,1000,30,2,0,0,20000,2,5000,1.9,50,118.61533288722846,-0.0711933828974943,1.0,1.0
440,1500,30,3,0,0,9000,2,3000,1.9,50,118.66496625885199,-0.07118809632607558,1.0,1.0
444,2500,30,5,0,0,7000,2,3000,1.9,50,118.88873673175152,-0.07116426198745042,1.0,1.0
450,1000,30,5,0,0,25000,2,6000,1.9,50,118.63553488702401,-0.07119123113324322,1.0,1.0
454,3800,30,5,0,1,9000,2,5000,1.8,50,117.29392252029022,-0.07133412953730031,1.0,0.0
456,1600,30,5,0,0,18000,2,4000,1.9,50,118.70299366218585,-0.07118404593463497,1.0,1.0
459,4000,30,5,0,0,8500,2,5000,1.8,50,117.3891538132931,-0.07132398622010688,1.0,0.0
463,4000,30,5,0,0,38000,1,10000,1.8,50,117.49824456370457,-0.07131236669831525,1.0,0.0
466,1000,30,2,0,1,9000,1,3500,1.9,50,118.58637072111006,-0.07119646772841788,1.0,1.0
471,2500,30,3,0,0,6900,1,1000,1.8,50,116.76976911980277,-0.07138995839388212,1.0,0.0
477,4000,30,5,0,0,12000,2,3000,1.9,50,119.43416152676271,-0.07110616746277781,1.0,1.0
490,4500,30,2,0,0,12000,2,1500,1.8,50,117.60957558407878,-0.07130050855990806,1.0,0.0
491,1000,30,3,0,0,10000,1,3000,1.9,50,118.57705540273945,-0.07119745992568845,1.0,1.0
