,Field_in_data,Description_of_information,Filling,At_the_time_of_the_request,Place_of_definition,Note
0,loan_amount,Сумма кредита в заявке,Обязательно,Известно,Указывает заемщик,
1,loan_days,Срок погашения кредита в заявке,Обязательно,Известно,Указывает заемщик,
2,purpose_other,Цель использования кредита,Обязательно,Известно,Указывает заемщик,
3,gender_id,Пол заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
4,birth_date,Дата рождения заемщика,Обязательно,Известно,Указывает заемщик,Иногда заполнена неправильно
5,marital_status_id,Семейный статус заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
6,children_count_id,Количество детей у заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
7,education_id,Уровень образования заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
8,passport_number,Номер паспорта,Обязательно,Известно,Указывает заемщик,Должен быть заполнен
9,passport_date,Дата выдачи паспорта,Обязательно,Известно,Указывает заемщик,Должна быть заполнена правильно
10,passport_issued_by,Кем выдан паспорт,,Известно,Указывает заемщик,
11,social_number,ИНН заемщика,Обязательно,Известно,Указывает заемщик,Должен быть заполнен
12,email,email заемщика,Обязательно,Известно,Указывает заемщик,Должен быть заполнен
13,phone_mobile,Мобильный телефон заемщика,Обязательно,Известно,Указывает заемщик,Должен быть заполнен
14,addr_region_id,Адрес регистрации: область,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
15,addr_postcode,Адрес регистрации: почтовый индекс,,Известно,Указывает заемщик,
16,addr_city,Адрес регистрации: город,,Известно,Указывает заемщик,
17,addr_street_type_id,Адрес регистрации: тип улицы,,Известно,Указывает заемщик,
18,addr_street,Адрес регистрации: улица,,Известно,Указывает заемщик,
19,addr_house,Адрес регистрации: номер дома,,Известно,Указывает заемщик,
20,addr_building,Адрес регистрации: номер здания,,Известно,Указывает заемщик,
21,addr_flat,Адрес регистрации: номер квартиры,,Известно,Указывает заемщик,
22,addr_phone,Адрес регистрации: номер телефона,,Известно,Указывает заемщик,
23,addr_owner_type_id,Адрес регистрации: тип собственности,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
24,addr_registration_date,Адрес регистрации: дата регистрации,Обязательно,Известно,Указывает заемщик,Должна быть заполнена правильно
25,fact_addr_same,Адрес проживания и адрес регистрации совпадают,Обязательно,Известно,Указывает заемщик,
26,fact_addr_region_id,Адрес проживания: область,Обязательно,Известно,Указывает заемщик,
27,fact_addr_postcode,Адрес проживания: почтовый индекс,,Известно,Указывает заемщик,
28,fact_addr_city,Адрес проживания: город,,Известно,Указывает заемщик,
29,fact_addr_street_type_id,Адрес проживания: тип улицы,,Известно,Указывает заемщик,
30,fact_addr_street,Адрес проживания: улица,,Известно,Указывает заемщик,
31,fact_addr_house,Адрес проживания: номер дома,,Известно,Указывает заемщик,
32,fact_addr_building,Адрес проживания: номер здания,,Известно,Указывает заемщик,
33,fact_addr_flat,Адрес проживания: номер квартиры,,Известно,Указывает заемщик,
34,fact_addr_phone,Адрес проживания: номер телефона,,Известно,Указывает заемщик,
35,fact_addr_owner_type_id,Адрес проживания: тип собственности,,Известно,Указывает заемщик,Нужна расшифровка id
36,fact_addr_start_date,Адрес регистрации: дата начала проживания,,Известно,Указывает заемщик,
37,has_immovables,Владеет недвижимостью,Обязательно,Известно,Указывает заемщик,
38,has_movables,Владеет транспортным средством,Обязательно,Известно,Указывает заемщик,
39,employment_type_id,Место работы: Тип занятости,,Известно,Указывает заемщик,Нужна расшифровка id
40,position_id,Место работы: тип должности,,Известно,Указывает заемщик,Нужна расшифровка id
41,position_other,Место работы: дополнительная информация для типа 999,,Известно,Указывает заемщик,
42,organization,Место работы: название организации,,Известно,Указывает заемщик,
43,organization_type_id,Место работы: тип организации,,Известно,Указывает заемщик,Нужна расшифровка id
44,organization_type_other,Место работы: дополнительная информация для типа 999,,Известно,Указывает заемщик,
45,organization_branch_id,Место работы: отрасль организации,,Известно,Указывает заемщик,Нужна расшифровка id
46,organization_branch_other,Место работы: дополнитльная информация для типа 999,,Известно,Указывает заемщик,
47,empoyees_count_id,Место работы: количество сотрудников организации,,Известно,Указывает заемщик,Нужна расшифровка id
48,employment_date,Место работы: дата начала работы,,Известно,Указывает заемщик,Должна быть заполнена правильно
49,seniority_years,Трудовой стаж,Обязательно,Известно,Указывает заемщик,Должен быть указан правильно
50,spd_reg_phone,ФОП: телефон регистрации,,Известно,Указывает заемщик,
51,spd_reg_date,ФОП: дата регистрации,,Известно,Указывает заемщик,
52,work_phone,Рабочий телефон,,Известно,Указывает заемщик,
53,has_prior_employment,есть предыдущее место работы,,Известно,Указывает заемщик,
54,prior_organization_name,Название предыдущей организации,,Известно,Указывает заемщик,
55,prior_employment_start_date,Дата начала работы на предыдущем месте,,Известно,Указывает заемщик,
56,prior_employment_end_date,Дата завершения работы на предыдущем месте,,Известно,Указывает заемщик,
57,monthly_income,Ежемесячные доходы,Обязательно,Известно,Указывает заемщик,
58,income_frequency_id,Частота получения дохода,Обязательно,Известно,Указывает заемщик,
59,income_frequency_other,Дополнительная информация о частоте дохода,,Известно,Указывает заемщик,
60,income_source_id,Источник получения дохода,Обязательно,Известно,Указывает заемщик,
61,income_source_other,Дополнительная информация об источнике дохода,,Известно,Указывает заемщик,
62,monthly_expenses,Ежемесячные расходы,Обязательно,Известно,Указывает заемщик,
63,other_loans_has_closed,Все другие займы погашены,,Известно,Указывает заемщик,
64,other_loans_active,Есть непогашенные займы,,Известно,Указывает заемщик,
65,other_loans_about_current,Общий размер непогашенных займов,,Известно,Указывает заемщик,
66,other_loans_about_monthly,Ежемесячные выплаты по непогашенным займам,,Известно,Указывает заемщик,
67,product_id,"id продукта, который выдается клиенту",Обязательно,???,параметры связанные с выданным продуктом,
68,product_dpr,процентная ставка по кредиту,,???,параметры связанные с выданным продуктом,
69,product_amount_from,Нижний предел вида займа,Обязательно,???,параметры связанные с выданным продуктом,
70,product_amount_to,Верхний предел вида займа,Обязательно,???,параметры связанные с выданным продуктом,
71,product_overdue_dpr                ,процентная ставка по кредиту при просрочке,,???,параметры связанные с выданным продуктом,
72,product_interest_min,минимальная сумма по продукту,,???,параметры связанные с выданным продуктом,
73,product_overdue_start_day          ,кол-во дней отсрочки,,???,параметры связанные с выданным продуктом,
74,product_base_amount_limit,лимит суммы по продукту,,???,параметры связанные с выданным продуктом,
75,amount_limit,лимит суммы,,???,параметры связанные с выданным продуктом,
76,applied_limit,утвержденные лимит,,???,параметры связанные с выданным продуктом,
77,amount_to_pay,сумма для оплаты минимальная,,???,параметры связанные с выданным продуктом,
